2025-05-05 21:13:38.693 INFO [pid-2473] @run.py:34 Loading data...
323715it [00:13, 24217.46it/s]
10053it [00:00, 26846.56it/s]
1332it [00:00, 33491.27it/s]
2025-05-05 21:13:52.476 INFO [pid-2473] @run.py:40 Time usage: 0:00:14
2025-05-05 21:13:53.710 INFO [pid-2473] @train_eval.py:34 Epoch [1/3]
2025-05-05 21:13:59.818 INFO [pid-2473] @train_eval.py:56 Iter:     99,  Train Loss:  0.22,  Train Acc: 91.41%,  Val Loss:   0.2,  Val Acc: 92.41%,  Time: 0:00:07 *
2025-05-05 21:14:05.919 INFO [pid-2473] @train_eval.py:56 Iter:    199,  Train Loss:  0.14,  Train Acc: 95.31%,  Val Loss:  0.18,  Val Acc: 92.77%,  Time: 0:00:13 *
2025-05-05 21:14:12.056 INFO [pid-2473] @train_eval.py:56 Iter:    299,  Train Loss:  0.17,  Train Acc: 92.97%,  Val Loss:  0.18,  Val Acc: 93.65%,  Time: 0:00:19 *
2025-05-05 21:14:18.201 INFO [pid-2473] @train_eval.py:56 Iter:    399,  Train Loss:  0.12,  Train Acc: 96.09%,  Val Loss:  0.14,  Val Acc: 94.63%,  Time: 0:00:25 *
2025-05-05 21:14:24.038 INFO [pid-2473] @train_eval.py:56 Iter:    499,  Train Loss:  0.14,  Train Acc: 95.31%,  Val Loss:  0.13,  Val Acc: 95.09%,  Time: 0:00:31 *
2025-05-05 21:14:30.157 INFO [pid-2473] @train_eval.py:56 Iter:    599,  Train Loss:  0.18,  Train Acc: 92.19%,  Val Loss:  0.13,  Val Acc: 95.02%,  Time: 0:00:37 *
2025-05-05 21:14:36.331 INFO [pid-2473] @train_eval.py:56 Iter:    699,  Train Loss:  0.11,  Train Acc: 95.31%,  Val Loss:  0.12,  Val Acc: 95.39%,  Time: 0:00:44 *
2025-05-05 21:14:42.190 INFO [pid-2473] @train_eval.py:56 Iter:    799,  Train Loss:  0.13,  Train Acc: 94.53%,  Val Loss:  0.12,  Val Acc: 95.18%,  Time: 0:00:49 
2025-05-05 21:14:48.294 INFO [pid-2473] @train_eval.py:56 Iter:    899,  Train Loss:  0.19,  Train Acc: 92.97%,  Val Loss:  0.11,  Val Acc: 95.59%,  Time: 0:00:55 *
2025-05-05 21:14:54.431 INFO [pid-2473] @train_eval.py:56 Iter:    999,  Train Loss: 0.072,  Train Acc: 97.66%,  Val Loss:  0.11,  Val Acc: 95.85%,  Time: 0:01:02 *
2025-05-05 21:15:00.532 INFO [pid-2473] @train_eval.py:56 Iter:   1099,  Train Loss:  0.13,  Train Acc: 91.41%,  Val Loss:  0.11,  Val Acc: 95.73%,  Time: 0:01:08 *
2025-05-05 21:15:06.414 INFO [pid-2473] @train_eval.py:56 Iter:   1199,  Train Loss:  0.13,  Train Acc: 96.09%,  Val Loss:  0.11,  Val Acc: 95.94%,  Time: 0:01:14 *
2025-05-05 21:15:12.461 INFO [pid-2473] @train_eval.py:56 Iter:   1299,  Train Loss:   0.1,  Train Acc: 96.88%,  Val Loss:  0.11,  Val Acc: 95.97%,  Time: 0:01:20 
2025-05-05 21:15:18.603 INFO [pid-2473] @train_eval.py:56 Iter:   1399,  Train Loss: 0.087,  Train Acc: 95.31%,  Val Loss:   0.1,  Val Acc: 96.29%,  Time: 0:01:26 *
2025-05-05 21:15:24.605 INFO [pid-2473] @train_eval.py:56 Iter:   1499,  Train Loss:   0.1,  Train Acc: 96.88%,  Val Loss:   0.1,  Val Acc: 95.98%,  Time: 0:01:32 
2025-05-05 21:15:30.365 INFO [pid-2473] @train_eval.py:56 Iter:   1599,  Train Loss:  0.15,  Train Acc: 92.97%,  Val Loss:   0.1,  Val Acc: 96.13%,  Time: 0:01:38 *
